Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,census_tract,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001
6107000101,"Census Tract 1.01, Tulare County, California",ACSSF,ca,140,0,11564,,,,,6,107,06107000101,Census Tract 1.01,,,,73582
6107000102,"Census Tract 1.02, Tulare County, California",ACSSF,ca,140,0,11565,,,,,6,107,06107000102,Census Tract 1.02,,,,63796
6107000202,"Census Tract 2.02, Tulare County, California",ACSSF,ca,140,0,11566,,,,,6,107,06107000202,Census Tract 2.02,,,,31445
6107000203,"Census Tract 2.03, Tulare County, California",ACSSF,ca,140,0,11567,,,,,6,107,06107000203,Census Tract 2.03,,,,61154
6107000204,"Census Tract 2.04, Tulare County, California",ACSSF,ca,140,0,11568,,,,,6,107,06107000204,Census Tract 2.04,,,,42470
6107000302,"Census Tract 3.02, Tulare County, California",ACSSF,ca,140,0,11569,,,,,6,107,06107000302,Census Tract 3.02,,,,44844
6107000303,"Census Tract 3.03, Tulare County, California",ACSSF,ca,140,0,11570,,,,,6,107,06107000303,Census Tract 3.03,,,,57685
6107000304,"Census Tract 3.04, Tulare County, California",ACSSF,ca,140,0,11571,,,,,6,107,06107000304,Census Tract 3.04,,,,47054
6107000401,"Census Tract 4.01, Tulare County, California",ACSSF,ca,140,0,11572,,,,,6,107,06107000401,Census Tract 4.01,,,,69414
6107000402,"Census Tract 4.02, Tulare County, California",ACSSF,ca,140,0,11573,,,,,6,107,06107000402,Census Tract 4.02,,,,55246
6107000501,"Census Tract 5.01, Tulare County, California",ACSSF,ca,140,0,11574,,,,,6,107,06107000501,Census Tract 5.01,,,,32400
6107000502,"Census Tract 5.02, Tulare County, California",ACSSF,ca,140,0,11575,,,,,6,107,06107000502,Census Tract 5.02,,,,55068
6107000600,"Census Tract 6, Tulare County, California",ACSSF,ca,140,0,11576,,,,,6,107,06107000600,Census Tract 6,,,,53039
6107000701,"Census Tract 7.01, Tulare County, California",ACSSF,ca,140,0,11577,,,,,6,107,06107000701,Census Tract 7.01,,,,33272
6107000702,"Census Tract 7.02, Tulare County, California",ACSSF,ca,140,0,11578,,,,,6,107,06107000702,Census Tract 7.02,,,,43993
6107000801,"Census Tract 8.01, Tulare County, California",ACSSF,ca,140,0,11579,,,,,6,107,06107000801,Census Tract 8.01,,,,42259
6107000802,"Census Tract 8.02, Tulare County, California",ACSSF,ca,140,0,11580,,,,,6,107,06107000802,Census Tract 8.02,,,,67323
6107000901,"Census Tract 9.01, Tulare County, California",ACSSF,ca,140,0,11581,,,,,6,107,06107000901,Census Tract 9.01,,,,54048
6107000902,"Census Tract 9.02, Tulare County, California",ACSSF,ca,140,0,11582,,,,,6,107,06107000902,Census Tract 9.02,,,,53259
6107001005,"Census Tract 10.05, Tulare County, California",ACSSF,ca,140,0,11583,,,,,6,107,06107001005,Census Tract 10.05,,,,110129
6107001006,"Census Tract 10.06, Tulare County, California",ACSSF,ca,140,0,11584,,,,,6,107,06107001006,Census Tract 10.06,,,,72069
6107001007,"Census Tract 10.07, Tulare County, California",ACSSF,ca,140,0,11585,,,,,6,107,06107001007,Census Tract 10.07,,,,80943
6107001008,"Census Tract 10.08, Tulare County, California",ACSSF,ca,140,0,11586,,,,,6,107,06107001008,Census Tract 10.08,,,,146399
