,alias,categories,id,image_url,name,price,rating,review_count,transactions,url,long,lat,geometry,neighbourhood,price_int,chain,store_add1,store_add2,store_add3,store_zip_code
0,taliza-coffee-santa-fe-springs,"['coffeeroasteries', 'coffee', 'breakfast_brunch']",rs5eKXExQrwSvUJNi0A78g,https://s3-media4.fl.yelpcdn.com/bphoto/LCyCTiMk0o-hCA4C2S7new/o.jpg,Taliza Coffee,$,4.5,132,[],https://www.yelp.com/biz/taliza-coffee-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0497996,33.90293636,POINT (-118.049799576402 33.9029363647326),Santa Fe Springs,1,FALSE,13217 Rosecrans Ave,,,90670
1,dapuri-malaysian-white-coffee-santa-fe-springs,['coffee'],b2domRSPAeUIP9lEARAYMQ,https://s3-media1.fl.yelpcdn.com/bphoto/uPbQGLX77Bhb4bnH0p34Rw/o.jpg,Dapuri Malaysian White Coffee,$,5,1,[],https://www.yelp.com/biz/dapuri-malaysian-white-coffee-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.03058,33.88565,POINT (-118.03058 33.88565),Santa Fe Springs,1,FALSE,14111 Freeway Dr,Ste 300,,90670
2,starbucks-santa-fe-springs-7,['coffee'],g2ldfV2yjU-Yd7r0H-Lh3g,https://s3-media2.fl.yelpcdn.com/bphoto/r6Ct_pNr_NtwkAziPHEbEw/o.jpg,Starbucks,$$,2.5,95,[],https://www.yelp.com/biz/starbucks-santa-fe-springs-7?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.029368,33.887704,POINT (-118.029368 33.887704),Santa Fe Springs,2,TRUE,15905 Valley View Avenue,,,90670
4,the-greenhouse-santa-fe-springs,['coffee'],BimMFJr3R9_t3CKVLxDvwA,,The Greenhouse,,2,1,[],https://www.yelp.com/biz/the-greenhouse-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.032532,33.88569847,POINT (-118.03253200641 33.8856984724873),Santa Fe Springs,,FALSE,14050 Firestone Blvd,,,90670
7,starbucks-santa-fe-springs-4,['coffee'],dvGiSZlSLB40GfbbNQt0jg,https://s3-media1.fl.yelpcdn.com/bphoto/Y4Z_Z1OavYAk0VdorXSJ6A/o.jpg,Starbucks,$$,3,71,[],https://www.yelp.com/biz/starbucks-santa-fe-springs-4?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.049388,33.916618,POINT (-118.049388 33.916618),Santa Fe Springs,2,TRUE,13248 Imperial Highway,,,90670
8,starbucks-santa-fe-springs-11,['coffee'],9mYVXoT-ASlXum5LVlmZkA,https://s3-media1.fl.yelpcdn.com/bphoto/tcwSN-6GTCa5WoyRGUPnBQ/o.jpg,Starbucks,$,2.5,119,[],https://www.yelp.com/biz/starbucks-santa-fe-springs-11?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.044536,33.939356,POINT (-118.044536 33.939356),Santa Fe Springs,1,TRUE,13473 Telegraph Road,Suite A,,90605
9,tierra-mia-coffee-santa-fe-springs,"['coffee', 'latin']",wmkgugyOinZ76Xc9_UEI1w,https://s3-media2.fl.yelpcdn.com/bphoto/r-igJhugIKy15y2RDux9_Q/o.jpg,Tierra Mia Coffee,$,3.5,73,[],https://www.yelp.com/biz/tierra-mia-coffee-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0839353,33.9451464,POINT (-118.083935314935 33.9451464012636),Santa Fe Springs,1,TRUE,11700 Telegraph Rd,,Santa Fe Springs Library,90670
10,starbucks-santa-fe-springs-9,['coffee'],IhRo92IXYIBFZkaFC_KNKw,https://s3-media2.fl.yelpcdn.com/bphoto/aEz20t_-gE1W5yVEbx2JXg/o.jpg,Starbucks,$$,3,102,[],https://www.yelp.com/biz/starbucks-santa-fe-springs-9?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.086607,33.947191,POINT (-118.086607 33.947191),Santa Fe Springs,2,TRUE,11570 East Telegraph Rd,,,90670
11,homestyle-donuts-santa-fe-springs-2,"['coffee', 'donuts', 'bagels']",W8DsqoMV_sZg5byBnS7i6Q,https://s3-media3.fl.yelpcdn.com/bphoto/DSIlh8dIRjuqgs7GVLqQpw/o.jpg,Homestyle Donuts,$,4,25,[],https://www.yelp.com/biz/homestyle-donuts-santa-fe-springs-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0895904,33.9490192,POINT (-118.0895904 33.9490192),Santa Fe Springs,1,FALSE,11425 E Telegraph Rd,,,90670
18,boba-loca-whittier,['coffee'],m-bhRdBFcXbkvxwxT77myg,https://s3-media1.fl.yelpcdn.com/bphoto/WwM-RZeeY4U8WjtJAUZyHQ/o.jpg,Boba Loca,$,2.5,69,[],https://www.yelp.com/biz/boba-loca-whittier?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0686739,33.9711629,POINT (-118.0686739 33.9711629),Santa Fe Springs,1,TRUE,11402 E Washington Blvd,,,90606
