geoid,name,B19013001,"B19013001, Error"
05000US06107,"Tulare County, CA",57394,1402
14000US06107000101,"Census Tract 1.01, Tulare, CA",73582,4699
14000US06107000102,"Census Tract 1.02, Tulare, CA",63796,28561
14000US06107000202,"Census Tract 2.02, Tulare, CA",31445,5786
14000US06107000203,"Census Tract 2.03, Tulare, CA",61154,18328
14000US06107000204,"Census Tract 2.04, Tulare, CA",42470,19364
14000US06107000302,"Census Tract 3.02, Tulare, CA",44844,8384
14000US06107000303,"Census Tract 3.03, Tulare, CA",57685,35395
14000US06107000304,"Census Tract 3.04, Tulare, CA",47054,6316
14000US06107000401,"Census Tract 4.01, Tulare, CA",69414,14363
14000US06107000402,"Census Tract 4.02, Tulare, CA",55246,15778
14000US06107000501,"Census Tract 5.01, Tulare, CA",32400,9491
14000US06107000502,"Census Tract 5.02, Tulare, CA",55068,17665
14000US06107000600,"Census Tract 6, Tulare, CA",53039,6228
14000US06107000701,"Census Tract 7.01, Tulare, CA",33272,4976
14000US06107000702,"Census Tract 7.02, Tulare, CA",43993,10168
14000US06107000801,"Census Tract 8.01, Tulare, CA",42259,4041
14000US06107000802,"Census Tract 8.02, Tulare, CA",67323,18490
14000US06107000901,"Census Tract 9.01, Tulare, CA",54048,12249
14000US06107000902,"Census Tract 9.02, Tulare, CA",53259,28932
14000US06107001005,"Census Tract 10.05, Tulare, CA",110129,16150
14000US06107001006,"Census Tract 10.06, Tulare, CA",72069,21540
14000US06107001007,"Census Tract 10.07, Tulare, CA",80943,39837
14000US06107001008,"Census Tract 10.08, Tulare, CA",146399,48616
14000US06107001009,"Census Tract 10.09, Tulare, CA",43582,7678
14000US06107001010,"Census Tract 10.10, Tulare, CA",50833,18033
14000US06107001011,"Census Tract 10.11, Tulare, CA",78574,19598
14000US06107001012,"Census Tract 10.12, Tulare, CA",80655,22930
14000US06107001101,"Census Tract 11.01, Tulare, CA",27731,5679
14000US06107001102,"Census Tract 11.02, Tulare, CA",38239,15967
14000US06107001200,"Census Tract 12, Tulare, CA",27375,8774
14000US06107001303,"Census Tract 13.03, Tulare, CA",67642,20610
14000US06107001304,"Census Tract 13.04, Tulare, CA",90739,11538
